date,position,song,artist,popularity,duration_ms,album_type,total_tracks,release_date,is_explicit,album_cover_url
5/19/2023,34,Another Love,Tom Odell,64,244360,album,10,6/17/2013,TRUE,https://i.scdn.co/image/ab67616d0000b2731b51f809c31f0d98f67c0b7d
5/19/2023,35,Moonlight,Kali Uchis,87,187723,album,15,3/3/2023,FALSE,https://i.scdn.co/image/ab67616d0000b27381fccd758776d16b87721b17
5/19/2023,36,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez & Em Beihold,93,176440,single,1,4/22/2022,FALSE,https://i.scdn.co/image/ab67616d0000b2732bf0876d42b90a8852ad6244
5/19/2023,37,Unholy (feat. Kim Petras),Sam Smith,86,156943,album,13,1/27/2023,FALSE,https://i.scdn.co/image/ab67616d0000b273fc3ff54493fcc890bcaa036c
5/19/2023,38,Starboy,The Weeknd,93,230453,album,18,11/25/2016,TRUE,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452
5/19/2023,39,Cruel Summer,Taylor Swift,92,178426,album,18,8/23/2019,FALSE,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647
5/19/2023,40,Like Crazy,Jimin,93,212241,single,6,3/24/2023,FALSE,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d
5/19/2023,41,People,Libianca,92,184791,single,1,12/6/2022,FALSE,https://i.scdn.co/image/ab67616d0000b273fc342f95f117d48dbdde9735
5/19/2023,42,Hey Mor,Ozuna,91,196600,album,18,10/7/2022,FALSE,https://i.scdn.co/image/ab67616d0000b273125624f2e04f5a1ccb0dfb45
5/19/2023,43,I Ain't Worried,OneRepublic,56,148120,album,18,2/15/2023,FALSE,https://i.scdn.co/image/ab67616d0000b273fedd3df3fa6f52c42fbb9e08
5/19/2023,44,Por las Noches,Peso Pluma,93,239845,single,1,6/11/2021,FALSE,https://i.scdn.co/image/ab67616d0000b273427d9aa38866b43ed45f6b0c
5/19/2023,45,La Bachata,Manuel Turizo,86,162637,album,15,3/17/2023,FALSE,https://i.scdn.co/image/ab67616d0000b2734dd99565ae6453deab7c26e1
5/19/2023,46,Mockingbird,Eminem,92,250760,album,23,11/12/2004,TRUE,https://i.scdn.co/image/ab67616d0000b273726d48d93d02e1271774f023
5/19/2023,47,Queen of Kings,Alessandra,86,147979,single,1,1/9/2023,FALSE,https://i.scdn.co/image/ab67616d0000b2732c9eea7700ceb07c4dabf114
5/19/2023,48,Yellow,Coldplay,91,266773,album,10,7/10/2000,FALSE,https://i.scdn.co/image/ab67616d0000b2733d92b2ad5af9fbc8637425f0
5/19/2023,49,Frágil,Yahritza Y Su Esencia & Grupo Frontera,89,160517,single,1,4/7/2023,FALSE,https://i.scdn.co/image/ab67616d0000b27357ed58cb724f8d55f78a1d4c
5/19/2023,50,El Gordo Trae El Mando,Chino Pacas,92,112087,single,1,1/27/2023,TRUE,https://i.scdn.co/image/ab67616d0000b2733240b79491b0714245a4ec02
5/20/2023,1,Ella Baila Sola,Eslabon Armado,90,165671,album,16,4/28/2023,FALSE,https://i.scdn.co/image/ab67616d0000b273dfddf1cb31b85a6d28b7d91f
5/20/2023,2,un x100to,Grupo Frontera & Bad Bunny,100,194563,single,1,4/17/2023,FALSE,https://i.scdn.co/image/ab67616d0000b273716c0b0ad51594ff788b5f06
5/20/2023,3,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2,3/17/2023,TRUE,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9
5/20/2023,4,Cupid - Twin Ver.,FIFTY FIFTY,98,174253,single,3,2/24/2023,FALSE,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb
5/20/2023,5,Flowers,Miley Cyrus,91,200600,album,13,3/10/2023,FALSE,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
5/20/2023,6,Daylight,David Kushner,97,212953,single,1,4/14/2023,FALSE,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae
5/20/2023,7,Kill Bill,SZA,94,153946,album,23,12/8/2022,FALSE,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5
5/20/2023,8,As It Was,Harry Styles,92,167303,album,13,5/20/2022,FALSE,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
5/20/2023,9,Acróstico,Shakira,85,170785,single,1,5/11/2023,FALSE,https://i.scdn.co/image/ab67616d0000b273bd6bbd68940f38c764524b63
5/20/2023,10,TQG,KAROL G,96,197933,album,17,2/24/2023,TRUE,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335
5/20/2023,11,Classy 101,Feid & Young Miko,95,195986,single,1,3/31/2023,TRUE,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a
5/20/2023,12,Tattoo,Loreen,90,183374,single,1,2/25/2023,FALSE,https://i.scdn.co/image/ab67616d0000b2732b0ba87db609976eee193bd6
5/20/2023,13,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,3,3/24/2023,FALSE,https://i.scdn.co/image/ab67616d0000b2734d6cf0d0d5e32ca4fa3a59e1
5/20/2023,14,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96,221520,album,15,12/2/2022,TRUE,https://i.scdn.co/image/ab67616d0000b27313e54d6687e65678d60466c2
5/20/2023,15,Die For You (with Ariana Grande) - Remix,The Weeknd,88,232857,album,21,3/14/2023,FALSE,https://i.scdn.co/image/ab67616d0000b2738ad8f5243d6534e03b656c8b
5/20/2023,16,Yandel 150,Yandel,90,216148,album,17,1/13/2023,TRUE,https://i.scdn.co/image/ab67616d0000b273b2aec01b56eeb74610532700
5/20/2023,17,Calm Down (with Selena Gomez),Rema,79,239317,album,22,4/27/2023,FALSE,https://i.scdn.co/image/ab67616d0000b273963265801aa5c9740ad159b7
5/20/2023,18,See You Again (feat. Kali Uchis),"Tyler, The Creator",94,180386,album,14,7/21/2017,TRUE,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3
